filename,excel_rows,category_codes,result,doc_id,kb_id,stage_id,stage_created,deleted_tag_count,inserted_tag_count,message
(CSPI-PEI)-膨润土微粒助留助滤体系在废纸造纸中的应用.pdf,25,modulation,success,feb051ca447011f1ac8710ffe02ab235,d7c8bc4a239c11f1a06b10ffe02ab235,ed262bad4ff84ac0ab467228055a09e0,yes,0,7,新建历史补录StagedFile
《中华纸业》论文摘要汉英对齐语料库的建设及应用.pdf,26,general_mgmt,success,b6dae17c42e411f1b0bf10ffe02ab235,d7c8bc4a239c11f1a06b10ffe02ab235,df9e78e537254f51bbcbc09d02a262dc,yes,0,7,新建历史补录StagedFile
《中国造纸》2005年度“ABB杯”优秀论文评选揭晓.pdf,27,general_mgmt,success,b6d142fc42e411f1b0bf10ffe02ab235,d7c8bc4a239c11f1a06b10ffe02ab235,8b138c72a97f4b1097dc2e0a6a7fe678,yes,0,7,新建历史补录StagedFile
《制浆造纸节能新技术》.pdf,28,energy_carbon,success,cc2f73c6479e11f19c9310ffe02ab235,d7c8bc4a239c11f1a06b10ffe02ab235,b18ea068c0a0484fb45caf9b613007e5,yes,0,7,新建历史补录StagedFile
《壁纸原纸》国家标准近日发布实施.pdf,29,quality_control,success,74e95988492411f19c1c10ffe02ab235,d7c8bc4a239c11f1a06b10ffe02ab235,199ac0374fa940ceb2b489a82ac8d73b,yes,0,7,新建历史补录StagedFile
《植物纤维化学》教学的实践与探索.pdf,30,pulping,success,b6b4e9a442e411f1b0bf10ffe02ab235,d7c8bc4a239c11f1a06b10ffe02ab235,a25013b9c31044728f1e2e31316aac4b,yes,0,7,新建历史补录StagedFile
《植物纤维化学》精品资源共享课程建设之我见.pdf,31,pulping,success,b6c80a7a42e411f1b0bf10ffe02ab235,d7c8bc4a239c11f1a06b10ffe02ab235,e1c5db1d1dc9480fa6b06c389e2e8c43,yes,0,7,新建历史补录StagedFile
《硫酸盐全无氯漂白纸浆的判定》行业标准成功制订.pdf,32,"pulping,quality_control",success,cc20f3e6479e11f19c9310ffe02ab235,d7c8bc4a239c11f1a06b10ffe02ab235,50e9f22c815746b9938244ee01e1a7bd,yes,0,8,新建历史补录StagedFile
《育果袋纸》国家标准修订浅析.pdf,33,quality_control,success,74fbe044492411f19c1c10ffe02ab235,d7c8bc4a239c11f1a06b10ffe02ab235,390e8897c00d4a2ebde7d7e65d97e2a9,yes,0,7,新建历史补录StagedFile
《造纸与生物质材料》（英文）2020年第4期摘要（英文）.pdf,34,uncategorized,success,fee6b81e447011f1ac8710ffe02ab235,d7c8bc4a239c11f1a06b10ffe02ab235,72b1e871ab8b43a681b50237a50e3036,yes,0,7,新建历史补录StagedFile
"1,4-丁二醇蒸煮法分离玉米秸秆中的木素.pdf",35,pulping,success,b6e1626842e411f1b0bf10ffe02ab235,d7c8bc4a239c11f1a06b10ffe02ab235,188ec9470b7d41e6886f6e431c0f058b,yes,0,7,新建历史补录StagedFile
"1,8-萘酰亚胺水性荧光聚合物的合成及在高得率浆上的应用.pdf",36,modulation,success,fef1c7c2447011f1ac8710ffe02ab235,d7c8bc4a239c11f1a06b10ffe02ab235,3dcf87cc4f8d40a2b65dd7d8c81f3fa7,yes,0,7,新建历史补录StagedFile
100%OCC生产的箱纸板碳足迹评价.pdf,37,energy_carbon,success,b724d8d642e411f1b0bf10ffe02ab235,d7c8bc4a239c11f1a06b10ffe02ab235,28ad838545db4b22889507bac67ebaa7,yes,0,7,新建历史补录StagedFile
